,county,state,Land Area (mi^2)
828,Clinton,Iowa,694.92
829,Crawford,Iowa,714.19
830,Dallas,Iowa,588.45
831,Davis,Iowa,502.19
832,Decatur,Iowa,531.88
833,Delaware,Iowa,577.76
834,Des Moines,Iowa,416.12
835,Dickinson,Iowa,380.61
836,Dubuque,Iowa,608.31
837,Emmet,Iowa,395.88
838,Fayette,Iowa,730.81
839,Floyd,Iowa,500.63
840,Franklin,Iowa,581.97
841,Fremont,Iowa,511.15
842,Greene,Iowa,569.57
843,Grundy,Iowa,501.86
844,Guthrie,Iowa,590.62
845,Hamilton,Iowa,576.75
846,Hancock,Iowa,571.01
847,Hardin,Iowa,569.31
848,Harrison,Iowa,696.85
849,Henry,Iowa,434.33
850,Howard,Iowa,473.25
851,Humboldt,Iowa,434.35
852,Ida,Iowa,431.51
853,Iowa,Iowa,586.46
854,Jackson,Iowa,636.04
855,Jasper,Iowa,730.42
856,Jefferson,Iowa,435.51
857,Johnson,Iowa,614.04
858,Jones,Iowa,575.62
859,Keokuk,Iowa,579.18
860,Kossuth,Iowa,972.72
861,Lee,Iowa,517.52
